Description,Price,Rating,Review Count,Location,Url
"[Trả góp 0%]Laptop dell 7270 cpu i5 6300u màn 12,5 inch máy mỏng nhẹ hơn 1kg",8.000.000 ₫,5,-3,Hà Nội,https://www.lazada.vn/products/tra-gop-0laptop-dell-7270-cpu-i5-6300u-man-125-inch-may-mong-nhe-hon-1kg-i391218271-s665484425.html?search=1
[Trả góp 0%]Laptop game+đồ họa -HP 6560B Core i5 2450M/ Ram 8G/ SSD 256G/ Màn 15 inch Vỏ Nhôm) DÒNG MÁY BỀN BỈ CHẠY 24/24,5.600.000 ₫,4,-66,Hà Nội,https://www.lazada.vn/products/tra-gop-0laptop-gamedo-hoa-hp-6560b-core-i5-2450m-ram-8g-ssd-256g-man-15-inch-vo-nhom-dong-may-ben-bi-chay-2424-i276636726-s6502484281.html?search=1
"(MỚI 100%) Asus Zenbook 14 Q408UG, Lập Trình Đồ Họa Siêu Mạnh, Chip 12 Luồng, Card Rời, Ryzen R5-5500U, RAM 8G, SSD 256G, VGA NVIDIA MX450-2G, Màn 14 FullHD IPS, 100% sRGB",18.600.000 ₫,5,-1,Hà Nội,https://www.lazada.vn/products/moi-100-asus-zenbook-14-q408ug-lap-trinh-do-hoa-sieu-manh-chip-12-luong-card-roi-ryzen-r5-5500u-ram-8g-ssd-256g-vga-nvidia-mx450-2g-man-14-fullhd-ips-100-srgb-i1478785276-s6156247124.html?search=1&freeshipping=1
hp elitebook 840 g2 card on. i5,7.900.000 ₫,,,Hà Nội,https://www.lazada.vn/products/hp-elitebook-840-g2-card-on-i5-i1620419281-s7016554127.html?search=1&freeshipping=1
MacBook Pro 13.3 inches Touch Bar M1 Chipset (8GB / 16GB - 256GB / 512GB) - HÀNG CHÍNH HÃNG,31.740.000 ₫,5,-282,Hồ Chí Minh,https://www.lazada.vn/products/macbook-pro-133-inches-touch-bar-m1-chipset-8gb-16gb-256gb-512gb-hang-chinh-hang-i1041134055-s3522518160.html?search=1
[Trả góp 0%]Laptop dell 6430 cpu core i5 3210m,7.000.000 ₫,5,-11,Hà Nội,https://www.lazada.vn/products/tra-gop-0laptop-dell-6430-cpu-core-i5-3210m-i584980416-s2100762744.html?search=1
"dell N7559 core i7 6700hq,vga gtx 960 4g,",12.390.000 ₫,,,Hà Nội,https://www.lazada.vn/products/dell-n7559-core-i7-6700hqvga-gtx-960-4g-i1411849617-s5842645332.html?search=1
[VOUCHER 3 TRIỆU]Laptop HP Envy 13-ba1535TU (4U6M4PA) i7-1165G7 | 8GB | 512GB | Intel Iris Xe Graphics | 13.3' FHD | Win 10,29.990.000 ₫,5,-1,Hồ Chí Minh,https://www.lazada.vn/products/voucher-3-trieulaptop-hp-envy-13-ba1535tu-4u6m4pa-i7-1165g7-8gb-512gb-intel-iris-xe-graphics-133-fhd-win-10-i1562978995-s6609404514.html?search=1
dell 7470 i5,10.000.000 ₫,,,Hà Nội,https://www.lazada.vn/products/dell-7470-i5-i1620350312-s7016091117.html?search=1&freeshipping=1
[HCM]Laptop Dell Latitude 6640 i7 4610M 3.7GHz AMD Radeon 2GB SSD 128GB QUADVIC,6.500.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/hcmlaptop-dell-latitude-6640-i7-4610m-37ghz-amd-radeon-2gb-ssd-128gb-quadvic-i1219058580-s4519041117.html?search=1
"Laptop Dell Latitude E7240 Core i7-4600U, 8gb Ram, 128gb SSD, 12.5inch HD vỏ nhôn siêu bền",6.500.000 ₫,,,Hưng Yên,https://www.lazada.vn/products/laptop-dell-latitude-e7240-core-i7-4600u-8gb-ram-128gb-ssd-125inch-hd-vo-nhon-sieu-ben-i435792036-s780264316.html?search=1
[Trả góp 0%]laptop gaming Dell 7559 - khủng game Core i5 6300HQram 16g ssd 256+ hdd 1tb VGA GTX 960 4GB 15.6 inch FHD 1920*1080,13.390.000 ₫,5,-18,Hà Nội,https://www.lazada.vn/products/tra-gop-0laptop-gaming-dell-7559-khung-game-core-i5-6300hqram-16g-ssd-256-hdd-1tb-vga-gtx-960-4gb-156-inch-fhd-19201080-i223891903-s7027227708.html?search=1
Laptop HP Elitebook 810G1 I5-3437U | 4Gb | SSD 120gb - Màn cảm ứng,9.300.000 ₫,,,Hà Nội,https://www.lazada.vn/products/laptop-hp-elitebook-810g1-i5-3437u-4gb-ssd-120gb-man-cam-ung-i1411823795-s5842732200.html?search=1
[HCM]bao da kèm bàn phím Bluetooth,178.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/hcmbao-da-kem-ban-phim-bluetooth-i952276631-s2898684133.html?search=1
"Brand New Dell Alienware M17 R4-17.3"" 4K UHD, 32GB RAM, RTX 3080 1TB",21.000.000 ₫,,,Bình Dương,https://www.lazada.vn/products/brand-new-dell-alienware-m17-r4-173-4k-uhd-32gb-ram-rtx-3080-1tb-i1542899311-s6491752044.html?search=1
[HCM]#Laptop #Dell #Latitude #E7440 #Core_i7  Đẳng Cấp Danh Nhân,8.800.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/hcmlaptop-dell-latitude-e7440-core_i7-dang-cap-danh-nhan-i1307910766-s5073788132.html?search=1
"Laptop các hãng core i3, giá siêu tốt",2.800.000 ₫,,,Hà Nội,https://www.lazada.vn/products/laptop-cac-hang-core-i3-gia-sieu-tot-i1260288724-s4738723973.html?search=1
laptop Nhậ.t xách tay NE.C,2.800.000 ₫,,,Kiên Giang,https://www.lazada.vn/products/laptop-nhat-xach-tay-nec-i636510783-s1502374642.html?search=1
[HCM]Laptop HP EliteBook Folio 9470M,5.200.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/hcmlaptop-hp-elitebook-folio-9470m-i1230597094-s4564447693.html?search=1
"Lenovo ThinkPad X1 Carbon 9th Gen (32GB RAM, 1TB SSD, Intel i7, 4K UHD, 4G/LTE)",15.000.000 ₫,,,Bình Dương,https://www.lazada.vn/products/lenovo-thinkpad-x1-carbon-9th-gen-32gb-ram-1tb-ssd-intel-i7-4k-uhd-4glte-i1542997880-s6492436224.html?search=1
[Trả góp 0%]Laptop folio 9470m core i5 3327u ram 8g ổ ssd 240g ultrabook mỏng nhẹ sang trọng,6.800.000 ₫,4,-7,Hà Nội,https://www.lazada.vn/products/tra-gop-0laptop-folio-9470m-core-i5-3327u-ram-8g-o-ssd-240g-ultrabook-mong-nhe-sang-trong-i237989356-s5382776149.html?search=1
"HP Spectre x360 13.3"" 4K OLED Core i7-1065G7 16GB 1TB SSD+32GB Fingerprint",14.000.000 ₫,,,Bình Dương,https://www.lazada.vn/products/hp-spectre-x360-133-4k-oled-core-i7-1065g7-16gb-1tb-ssd32gb-fingerprint-i1543432088-s6494173040.html?search=1
"Laptop Dell Latitude E7240 Core I7 4600U , Ram 4GB DDR3L , SSD 128GB , Intel HD Graphics 4400 , Màn hình 12.5inch HD",6.600.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/laptop-dell-latitude-e7240-core-i7-4600u-ram-4gb-ddr3l-ssd-128gb-intel-hd-graphics-4400-man-hinh-125inch-hd-i499330251-s975764871.html?search=1
LAPTOP giá Học Sinh từ 2.xxx đến 10.xxx,2.800.000 ₫,,,Bắc Giang,https://www.lazada.vn/products/laptop-gia-hoc-sinh-tu-2xxx-den-10xxx-i752476935-s1958672853.html?search=1
"Laptop ThinkPad T460s i5, RAM 8GB, SSD 256GB, FHD",9.600.000 ₫,5,-2,Hà Nội,https://www.lazada.vn/products/laptop-thinkpad-t460s-i5-ram-8gb-ssd-256gb-fhd-i1435779186-s5943303145.html?search=1
[VOUCHER 300] MÁY TÍNH XÁCH TAY (NB) HP Pavilion 15-eg0505TU i5-1135G7/8GD4/512GSSD/15.6FHD/Wlac/BT5/3C41WHr/ALUp/VÀNG/WIN ( 46M02PA),18.790.000 ₫,5,-4,Bắc Ninh,https://www.lazada.vn/products/voucher-300-may-tinh-xach-tay-nb-hp-pavilion-15-eg0505tu-i5-1135g78gd4512gssd156fhdwlacbt53c41whralupvangwin-46m02pa-i1529835180-s6427734015.html?search=1
hp brobook 450 g1 i5,6.500.000 ₫,,,Hà Nội,https://www.lazada.vn/products/hp-brobook-450-g1-i5-i1620452012-s7016360315.html?search=1&freeshipping=1
[HCM][Trả góp 0%]Laptop Hp Pavilion 15 cs3055wm i5 1035G1 Gen 10 8G SSD512 Full HD Full Box New,13.900.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/hcmtra-gop-0laptop-hp-pavilion-15-cs3055wm-i5-1035g1-gen-10-8g-ssd512-full-hd-full-box-new-i551422185-s1179912452.html?search=1
Laptop UFO Sony svf14 i5 ssd trắng tinh khôi thời trang sang trọng,5.690.000 ₫,,,Hà Nội,https://www.lazada.vn/products/laptop-ufo-sony-svf14-i5-ssd-trang-tinh-khoi-thoi-trang-sang-trong-i1617459005-s6998850547.html?search=1
Dell Latitude E6440 Core i5-4200M DDRam 4GB SSD 120GB Màn Hình 14.0,6.600.000 ₫,,,Hà Nội,https://www.lazada.vn/products/dell-latitude-e6440-core-i5-4200m-ddram-4gb-ssd-120gb-man-hinh-140-i795264591-s2149938793.html?search=1
dell 7470 i7,11.000.000 ₫,,,Hà Nội,https://www.lazada.vn/products/dell-7470-i7-i1620391110-s7016003877.html?search=1&freeshipping=1
[Trả góp 0%]laptop gaming Dell 5577 quái vật game Core i5 7300HQ/ram 16g ssd 256g+ hdd 1tb VGA GTX 1050 4G/ MÀn 15.6 FHD 1080 DÒNG MÁY CHUYÊN GAME,14.990.000 ₫,5,-8,Hà Nội,https://www.lazada.vn/products/tra-gop-0laptop-gaming-dell-5577-quai-vat-game-core-i5-7300hqram-16g-ssd-256g-hdd-1tb-vga-gtx-1050-4g-man-156-fhd-1080-dong-may-chuyen-game-i237033426-s7027178964.html?search=1
LAPTOP HP DV6000,1.800.000 ₫,,,Đồng Nai,https://www.lazada.vn/products/laptop-hp-dv6000-i443886788-s800696669.html?search=1&freeshipping=1
[Trả góp 0%]Laptop Siêu di động Dell Latitude E7250 Core i5-5300u/ Ram 4gb/  SSD 128Gb/ 12.5 inch Mỏng nhẹ hợp kim Magie Cacbon- Hàng Xách Tay,6.750.000 ₫,5,-19,Thái Bình,https://www.lazada.vn/products/tra-gop-0laptop-sieu-di-dong-dell-latitude-e7250-core-i5-5300u-ram-4gb-ssd-128gb-125-inch-mong-nhe-hop-kim-magie-cacbon-hang-xach-tay-i272144794-s2878354810.html?search=1
[Trả góp 0% ] Dell Precision 7510 Laptop Đồ Họa Khủng i7-6820HQ VGA NVIDIA Quadro M1000M-2G Màn 15.6 FullHD IPS,17.200.000 ₫,4,-10,Hà Nội,https://www.lazada.vn/products/tra-gop-0-dell-precision-7510-laptop-do-hoa-khung-i7-6820hq-vga-nvidia-quadro-m1000m-2g-man-156-fullhd-ips-i1012300700-s3334240123.html?search=1&freeshipping=1
Màn hình LCD Dell P2721Q/ 27 inch 4K/ USB Type C/ 3Yrs,11.490.000 ₫,5,-1,Hà Nội,https://www.lazada.vn/products/man-hinh-lcd-dell-p2721q-27-inch-4k-usb-type-c-3yrs-i1470777946-s6110175063.html?search=1
LAPTOP HP FOLIO 9470M CORE I7/4/128G (SSD 128G BH 3 NĂM),11.490.000 ₫,,,Hà Nội,https://www.lazada.vn/products/laptop-hp-folio-9470m-core-i74128g-ssd-128g-bh-3-nam-i1411956274-s5842711110.html?search=1
JIANGF Alloy Lapdesks Notebook Non-Slip Riser Laptop Accessories Notebook Holder Foldable Laptop Laptop Stand,157.000 ₫,,,Overseas,https://www.lazada.vn/products/jiangf-alloy-lapdesks-notebook-non-slip-riser-laptop-accessories-notebook-holder-foldable-laptop-laptop-stand-i1438822011-s5954067291.html?search=1
HP PAVILION 15/ I3-6100U/ 4G/ 500GB,6.500.000 ₫,,,Hà Nội,https://www.lazada.vn/products/hp-pavilion-15-i3-6100u-4g-500gb-i1411865586-s5842536836.html?search=1
"Tronics Miếng Dán An Toàn Phản Quang Thân Xe Đạp 5Cm * 3M, Dải Cảnh Báo Không Thấm Nước Nhãn Dán Phản Quang Lái Xe Ban Đêm Truyền Thống Máy Tính Xách Tay",27.000 ₫,,,Overseas,https://www.lazada.vn/products/tronics-mieng-dan-an-toan-phan-quang-than-xe-dap-5cm-3m-dai-canh-bao-khong-tham-nuoc-nhan-dan-phan-quang-lai-xe-ban-dem-truyen-thong-may-tinh-xach-tay-i1494054955-s6249834586.html?search=1
"Laptop Dell N3543 Core i7-5500U, ram 8G ,SSD+HDD ,VGA rời giá rẻ",10.499.000 ₫,,,Hà Nội,https://www.lazada.vn/products/laptop-dell-n3543-core-i7-5500u-ram-8g-ssdhdd-vga-roi-gia-re-i1411959207-s5842579548.html?search=1
"Dell Precision 7510 - máy trạm đồ họa cao cấp mỏng nhẹ cao cấp, bh 24th",15.790.000 ₫,,,Hà Nội,https://www.lazada.vn/products/dell-precision-7510-may-tram-do-hoa-cao-cap-mong-nhe-cao-cap-bh-24th-i1411887494-s5842555780.html?search=1
"HP Elitebook 745 G2, màn hình: 14 inch, HD (1366×768), xuất xứ: nhập khẩu từ Mỹ, like new 98%, bảo hành sản phẩm 36 tháng",6.900.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/hp-elitebook-745-g2-man-hinh-14-inch-hd-1366768-xuat-xu-nhap-khau-tu-my-like-new-98-bao-hanh-san-pham-36-thang-i989350176-s3150722379.html?search=1
"Laptop Dell 7240 Core i7 4600U, Core i5 4300U, ram 4g,ssd128 giá rẻ",9.690.000 ₫,,,Hà Nội,https://www.lazada.vn/products/laptop-dell-7240-core-i7-4600u-core-i5-4300u-ram-4gssd128-gia-re-i1411872598-s5842502546.html?search=1
"laptop Dell E5450 Core i7 5500U, ram 8g ,ssd128+hdd giá rẻ",10.190.000 ₫,,,Hà Nội,https://www.lazada.vn/products/laptop-dell-e5450-core-i7-5500u-ram-8g-ssd128hdd-gia-re-i1411803821-s5842681382.html?search=1
BKIJJ Hợp Kim Lapdesks Không-Trượt Máy Tính Xách Tay Riser Giữ Máy Tính Xách Tay Có Thể Gập Lại Máy Tính Xách Tay Máy Tính Xách Tay Phụ Kiện Máy Tính Xách Tay Đứng,157.000 ₫,,,Overseas,https://www.lazada.vn/products/bkijj-hop-kim-lapdesks-khong-truot-may-tinh-xach-tay-riser-giu-may-tinh-xach-tay-co-the-gap-lai-may-tinh-xach-tay-may-tinh-xach-tay-phu-kien-may-tinh-xach-tay-dung-i1626691200-s7065357115.html?search=1
[HCM]Chai xịt bọt tuyết Handboss tẩy rửa đa năng (650ml) chai vệ sinh laptop/ô tô/ đồ gia dụng cam kết sản phẩm đúng mô tả chất lượng đảm bảo,65.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/hcmchai-xit-bot-tuyet-handboss-tay-rua-da-nang-650ml-chai-ve-sinh-laptopo-to-do-gia-dung-cam-ket-san-pham-dung-mo-ta-chat-luong-dam-bao-i982684613-s3110740468.html?search=1
Sạc laptop 15v,108.000 ₫,5,-1,Hà Nội,https://www.lazada.vn/products/sac-laptop-15v-i102557764-s103086957.html?search=1
"Cáp chia VGA 1 ra 2 dài 20cm gắn cho máy tính, laptop để thêm màn hình",50.000 ₫,5,-1,Hồ Chí Minh,https://www.lazada.vn/products/cap-chia-vga-1-ra-2-dai-20cm-gan-cho-may-tinh-laptop-de-them-man-hinh-i251401680-s333294282.html?search=1
Sạc pin cho laptop hp zbook 15 g2 hàng theo máy chính hãng,699.000 ₫,,,Hà Nội,https://www.lazada.vn/products/sac-pin-cho-laptop-hp-zbook-15-g2-hang-theo-may-chinh-hang-i1455378962-s6025379252.html?search=1
"Bàn Phim Cơ Giá Rẻ ,  Bàn Phím Led K600 Thế Hệ Mới , Ban Phim May Tinh De Ban, Giá Bàn Phím Máy Tính Laptop Bảo Hành Lâu Dài.",201.450 ₫,5,-12,Hồ Chí Minh,https://www.lazada.vn/products/ban-phim-co-gia-re-ban-phim-led-k600-the-he-moi-ban-phim-may-tinh-de-ban-gia-ban-phim-may-tinh-laptop-bao-hanh-lau-dai-i1270883107-s4788105027.html?search=1
Bộ vệ sinh Laptop,15.000 ₫,,,Hà Nội,https://www.lazada.vn/products/bo-ve-sinh-laptop-i1240561095-s4622880988.html?search=1
Dây Nguồn Sạc Laptop - Cáp Nguồn Kết Nối Điện 220v Tới Cục Sạc Laptop,10.000 ₫,5,-1,Hà Nội,https://www.lazada.vn/products/day-nguon-sac-laptop-cap-nguon-ket-noi-dien-220v-toi-cuc-sac-laptop-i1506281603-s6312043517.html?search=1
"Lót chuột, bàn di chuột dành cho máy tính, laptop",55.000 ₫,5,-6,Hà Nội,https://www.lazada.vn/products/lot-chuot-ban-di-chuot-danh-cho-may-tinh-laptop-i1608734723-s6929954544.html?search=1
Dây nguồn laptop IEC C5 dài 1.5M EU Laptop 3-pin Charger loại tốt,19.900 ₫,,,Hà Nội,https://www.lazada.vn/products/day-nguon-laptop-iec-c5-dai-15m-eu-laptop-3-pin-charger-loai-tot-i1372683222-s5683040087.html?search=1
[HCM]Bộ vệ sinh màn hình LCD / laptop 6 món . Vi Tính Quốc Duy,57.000 ₫,5,-1,Hồ Chí Minh,https://www.lazada.vn/products/hcmbo-ve-sinh-man-hinh-lcd-laptop-6-mon-vi-tinh-quoc-duy-i215469138-s269959970.html?search=1
"Laptop HP ProBook 440 G8 Core i5-1135G7 - 8GB RAM - 256GB SSD - 14""FHD - Win10 HomeSilver/2H0S6PA - Hàng chính hãng - Bảo hành 1 năm",19.990.000 ₫,4,-11,Bắc Ninh,https://www.lazada.vn/products/laptop-hp-probook-440-g8-core-i5-1135g7-8gb-ram-256gb-ssd-14fhd-win10-homesilver2h0s6pa-hang-chinh-hang-bao-hanh-1-nam-i1188324481-s4364490464.html?search=1&freeshipping=1
Laptop Asus A556u i5/8G/ssd128gb/card rời gtx 930,5.600.000 ₫,,,Nghệ An,https://www.lazada.vn/products/laptop-asus-a556u-i58gssd128gbcard-roi-gtx-930-i1290810287-s4897805306.html?search=1
[Trả góp 0%]Laptop chơi game + đồ họa  HP 6570B Core i5 3210M Ram 8G SSD 256g Màn 15.6 Phím Số Vỏ Nhôm,5.900.000 ₫,4,-67,Hà Nội,https://www.lazada.vn/products/tra-gop-0laptop-choi-game-do-hoa-hp-6570b-core-i5-3210m-ram-8g-ssd-256g-man-156-phim-so-vo-nhom-i246744507-s4525121410.html?search=1
hp elitebook 840 g2 i7,8.500.000 ₫,,,Hà Nội,https://www.lazada.vn/products/hp-elitebook-840-g2-i7-i1620395444-s7016575273.html?search=1&freeshipping=1
Laptop Cũ Dell Latitude E7450 Core i5* 5200U - Ram 8GB - SSD 256GB - Intel HD Graphics 5500 - Màn 14” HD,7.850.000 ₫,,,Hà Nội,https://www.lazada.vn/products/laptop-cu-dell-latitude-e7450-core-i5-5200u-ram-8gb-ssd-256gb-intel-hd-graphics-5500-man-14-hd-i781016519-s2089874222.html?search=1
Brand New Razer Blade Pro 17 Laptop D 17 Core i7-10875H 2.6GHz 3080 32GB RAM 1TB SSD,16.000.000 ₫,,,Bình Dương,https://www.lazada.vn/products/brand-new-razer-blade-pro-17-laptop-d-17-core-i7-10875h-26ghz-3080-32gb-ram-1tb-ssd-i1542836855-s6491848215.html?search=1
[Trả góp 0%]Laptop HP Probook 450 G1 - thiết kế đẹp mạnh mẽ ( i5-4200M ram 16Gssd 256g+  hdd 1TB VGA Intel HD 4600 15.6 inch HD),7.500.000 ₫,5,-4,Hà Nội,https://www.lazada.vn/products/tra-gop-0laptop-hp-probook-450-g1-thiet-ke-dep-manh-me-i5-4200m-ram-16gssd-256g-hdd-1tb-vga-intel-hd-4600-156-inch-hd-i223059193-s5156388038.html?search=1
[VOUCHER 3 TRIỆU] Laptop HP Pavilion 15-eg0506TX (46M05PA) i5-1135G7 | 8GB RAM | 512GB SSD | 15.6 FHD | BẠC | WIN 11,20.990.000 ₫,5,-3,Hà Nội,https://www.lazada.vn/products/voucher-3-trieu-laptop-hp-pavilion-15-eg0506tx-46m05pa-i5-1135g7-8gb-ram-512gb-ssd-156-fhd-bac-win-11-i1570885948-s6661145031.html?search=1
"MSI GP70 (2OD-229) (INTEL CORE I7-4712QM 2.3GHZ, 4GB RAM, 1TB HDD, VGA NVIDIA GEFORCE GT 940M, 17.3 INCH, FREE DOS)",10.000.000 ₫,,,Hà Nội,https://www.lazada.vn/products/msi-gp70-2od-229-intel-core-i7-4712qm-23ghz-4gb-ram-1tb-hdd-vga-nvidia-geforce-gt-940m-173-inch-free-dos-i1411871673-s5842679531.html?search=1
[HCM]Laptop HP 430 G1/2 Cho Các Bạn Sinh Viên Và Dân VP!!!,4.600.000 ₫,,,Hồ Chí Minh,https://www.lazada.vn/products/hcmlaptop-hp-430-g12-cho-cac-ban-sinh-vien-va-dan-vp-i1230540335-s4564549183.html?search=1
Khay Ổ Cứng Caddy Bay SATA 3 9.5mm / 12.7mm Lắp Ổ Cứng Thứ 2 cho Laptop,28.000 ₫,5,-57,Hà Nội,https://www.lazada.vn/products/khay-o-cung-caddy-bay-sata-3-95mm-127mm-lap-o-cung-thu-2-cho-laptop-i1386241897-s5741290904.html?search=1
MC Giá Đỡ Máy Tính Xách Tay 6 Tầng Điều Chỉnh Được LS501 Giá Đỡ Máy Tính Xách Tay Bằng Hợp Kim Nhôm Di Động Phù Hợp Cho Máy Tính Xách Tay 11-17 Inch Giá Đỡ Máy Tính Bảng Chống Trượt Gập Được,137.130 ₫,4,-855,Overseas,https://www.lazada.vn/products/mc-gia-do-may-tinh-xach-tay-6-tang-dieu-chinh-duoc-ls501-gia-do-may-tinh-xach-tay-bang-hop-kim-nhom-di-dong-phu-hop-cho-may-tinh-xach-tay-11-17-inch-gia-do-may-tinh-bang-chong-truot-gap-duoc-i1388948658-s5753446596.html?search=1
"Chuột Không dây Logitech M220 chống ồn cao cấp, chuột chuyên Văn phòng, dùng cho máy vi tính, laptop, chơi game - 1 đổi 1",59.000 ₫,5,-390,Hà Nội,https://www.lazada.vn/products/chuot-khong-day-logitech-m220-chong-on-cao-cap-chuot-chuyen-van-phong-dung-cho-may-vi-tinh-laptop-choi-game-1-doi-1-i1479166700-s6159611020.html?search=1
"Thiết bị thu phát âm thanh Usb bluetooth 5.0 đa chức năng jack cắm 3.5mm cho loa, Tivi, máy tính, laptop, xe ô tô",52.020 ₫,5,-551,Hà Nội,https://www.lazada.vn/products/thiet-bi-thu-phat-am-thanh-usb-bluetooth-50-da-chuc-nang-jack-cam-35mm-cho-loa-tivi-may-tinh-laptop-xe-o-to-i975082716-s3064244657.html?search=1
"Túi đeo laptop, macbook chống sốc, chống nước. Túi laptop nhỏ gọn 13inch, 14inch, 15inch, 16inch-MG01  ⭐",299.000 ₫,5,-4,Hà Nội,https://www.lazada.vn/products/tui-deo-laptop-macbook-chong-soc-chong-nuoc-tui-laptop-nho-gon-13inch-14inch-15inch-16inch-mg01-i1508342204-s6321453763.html?search=1
Túi đeo chéo trẻ trung phong cách,22.540 ₫,5,-409,Đà Nẵng,https://www.lazada.vn/products/tui-deo-cheo-tre-trung-phong-cach-i576852684-s1276064895.html?search=1
